,speech
155," Por instrucciones de la Presidencia, en votación económica consulto a la asamblea si se dispensa la lectura del orden del día. Las diputadas y diputados que estén por la afirmativa favor de levantar su mano (votación). Las diputadas y diputados que estén por la negativa sírvanse levantar su mano (votación). Se aprueba por la afirmativa, presidente."
156," La propuesta de puntos en el orden del día corresponde conforme a la ley a la Jucopo o a la Mesa, no a los señores miembros de esta asamblea. Adelante. ¿A quién? Póngale el micrófono, por favor."
157,"(desde la curul): Presidente, una pregunta de procedimiento."
158," No acepto ninguna censura, porque los actos públicos de las diputadas y los diputados son nuestra exclusiva responsabilidad ciudadana y política."
159, (desde la curul): Usted está mintiendo y exijo el uso de la palabra.
160," No se lo permito porque usted fue el agresor. No le voy a conceder el uso de la palabra. No permitiremos que usted ponga desorden en este Congreso. A ver quién gana, un diputado o la inmensa mayoría de la Cámara."
161, El siguiente punto del orden del día es la lectura del acta de la sesión constitutiva. Consulte...
162," Presidente, por la mayoría..."
163, ... la Secretaría a la asamblea...
164," Quítele el sonido, por favor. No le estoy aludiendo. Usted fue el que me aludió. El presidente no puede ser invocado por alusiones personales. No permitiré que usted ponga desorden en esta Cámara. No lo permitirá la Cámara. Espero su respuesta."
165, No le voy a tolerar su falta de desacuerdo. No le voy a tolerar...
166," Tome su asiento, señor diputado."
167," Consulto a la asamblea, en votación económica..."
168, No acepto su provocación.
169,"... si se dispensa la lectura del acta de la sesión constitutiva, tomando en consideración que ha sido publicada en la Gaceta Parlamentaria."
170, Le estoy pidiendo la palabra.
171, No se la voy a conceder.
172,Los diputados que estén por la afirmativa sírvanse...
173," No. Diputado presidente, no le voy a tolerar su falta de respeto. No le voy a tolerar su insolencia."
174," Quienes estén por la negativa, favor de levantar la mano..."
175, No soy insolente.
176, Es insolente...
177, Usted es un golpeador.
178, ...y le respeto.
179, Usted es un golpeador.
180," ...la violación del marco constitucional. Permite la violación del marco constitucional. Lea el artículo 69. Me parece inaudito que usted que tiene una alta especialización en el marco constitucional, permita la violación y el atropello a esta soberanía. Se lo advertí desde la sesión del primero de septiembre. Y no le voy a tolerar su autoritarismo."
181,"Le ruego que tome su asiento. Hay diputados que no se han dado cuenta que ya ganaron y cambió la mayoría de la Cámara. Lo lamento, lo lamento por un diputado adscrito..."
182,"Cuando los Chuchos estaban ahí usted los denostaba, y ahora que estuvo..."
183," Es la continuidad del orden republicano. Le ruego que tome su asiento. No es ilegal, ese es su juicio."
184,... que pasó en la reunión de ayer.
185, Ese no es mi problema. No se la voy a dar.
186,Pues me está violentando mi derecho.
187,En este momento no. Habrá un debate sobre esto.
188," Señor, usted me aludió y está violentando mi derecho."
189,No le aludí. El presidente...
190,Usted está faltándome al respeto.
191,Pido a la secretaria que continúe con el orden del día.
192,"Le exijo, diputado presidente, que respete mi derecho al uso de la palabra. Le exijo respeto porque somos pares. Está violentando la Constitución. Me parece muy grave que toleren ese atropello..."
193,Le pido a la secretaria que se dispense el acta.
194,"Pedí la palabra además para el acta, diputado presidente."
195,"De acuerdo con el artículo 103, están prohibidos los diálogos personales."
196,"Por instrucciones de la Presidencia, consulto a la asamblea en votación económica si se dispensa la lectura del acta de la sesión constitutiva, tomando en consideración que se encuentra publicada en la Gaceta Parlamentaria. Las diputadas y diputados que estén por la afirmativa sírvanse manifestarlo (votación). Las diputadas y diputados que estén por la negativa favor de manifestarlo (votación). Es por la afirmativa,
presidente."
197," Señor presidente, estoy pidiendo la palabra por el acta."
198,"El acta es del 29, que ya es una fecha que pasó."
199, Pero la está poniendo a votación y le estoy pidiendo la palabra.
200,"Bueno, vote. Está aprobada el acta. Vote. Como todos, vote. Si está de acuerdo vota a favor y si está en desacuerdo vota en contra. Muchas gracias. Ya está dispensada."
201, Continúe con Comunicaciones.
202," No, compañeros, estoy pidiendo el uso de la palabra de manera correcta desde el principio de la sesión. Ahí está. Yo vengo a plantear argumentos y vengo a hablar de una violación..."
203," Para que no se hable de autoritarismo, pido a la asamblea en votación económica, si se le concede al diputado Fernández Noroña el uso de la palabra. Pido el voto a mano alzada."
204," Se recibieron del Congreso del Estado de Guanajuato oficios con los que comunican que los ciudadanos Beatriz Manrique Guevara, Éctor Jaime Ramírez Barba y Juan Carlos Muñoz Márquez, optaron por el cargo de diputado federal a la Sexagésima Cuarta Legislatura."
205, De enterado.
206,Se recibieron de la Comisión Permanente los siguientes asuntos:
207, Túrnese a la Comisión de Presupuesto y Cuenta Pública para su atención.
208,2. Acuerdo por el que se exhorta a la Cámara de Diputados a considerar al titular de la Unidad de Inteligencia Financiera dentro de los empleados superiores de Hacienda.
209,Túrnese a la Comisión de Hacienda para su atención.
210," 3. Acuerdo para que la Sexagésima Cuarta Legislatura considere en su agenda legislativa propuestas para armonizar la legislación sanitaria en México, a efecto de dar cumplimiento a la estrategia de la Organización Mundial de la Salud sobre medicina tradicional 2014-2023."
211, Túrnese a la Comisión de Salud para su conocimiento.
212,"4. Acuerdo por el que se exhorta a la Cámara de Diputados para que en la aprobación de la Ley Federal de Derechos para el ejercicio fiscal de 2019, analice la metodología del pago de derechos por el uso del espectro radioeléctrico, a efecto de determinar las cuotas que deberán pagar los operadores de telecomunicaciones móviles."
213," Túrnese a la Comisión de Hacienda y Crédito Público, para su atención."
214, Se recibió del Órgano Interno de Control del Instituto Nacional Electoral el informe previo de gestión 2018.
215," Túrnese a la Comisión de Transparencia y Anticorrupción, para su conocimiento."
216," Se recibió oficio del Honorable Congreso de la Unión con el que remite el VI Informe de Gobierno del Presidente de los Estados Unidos Mexicanos, Enrique Peña Nieto."
217,De enterado. Publíquese en la Gaceta Parlamentaria.
218,"Se recibieron de la Secretaría de Gobernación 500 ejemplares del VI Informe de Gobierno del Presidente de los Estados Unidos Mexicanos, Enrique Peña Nieto."
219, Distribúyanse entre las diputadas y los diputados.
220," Se recibieron de la Secretaría de Gobernación 16 oficios con los que remite el sexto informe de labores de las Secretarías de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación, de Cultura, de Defensa Nacional, de Desarrollo Agrario Territorial y Urbano, de Desarrollo Social, de Economía, de Educación Pública, de Energía, de la Función Pública, de Hacienda y Crédito Público, de Marina, de Medio Ambiente y Recursos
Naturales, de Salud, de Trabajo y Previsión Social, de Turismo y de la Procuraduría General de la República."
221,"De enterado. Distribúyanse a las diputadas y a los diputados, y túrnese a las comisiones correspondientes."
222,"Se recibió de la Secretaría de Gobernación el informe trimestral de la Consar, sobre la situación que guardan los Sistemas de Ahorro para el Retiro, correspondiente al periodo abril-junio de 2018. Es cuanto."
223,"Túrnese a las Comisiones de Hacienda y Crédito Público, de Trabajo y Previsión Social y de Seguridad Social, para su conocimiento."
224," Se recibió del Instituto Federal de Telecomunicaciones, el informe previo de resultados de gestión 2018, del Órgano Interno de Control del Instituto. Es cuanto."
225," Túrnese a la Comisión de Comunicaciones, para su conocimiento."
226," Se recibió del Consejo General del Instituto Nacional Electoral, oficio por el que solicita se informe al Instituto Nacional Electoral la designación de los legisladores propuestos como consejeros del Poder Legislativo."
227," Túrnese a la Junta de Coordinación Política, para su atención."
228," Se recibieron del Congreso del Estado de Colima, las siguientes iniciativas."
229,"Túrnese a la Comisión de Transportes, para dictamen."
230," 2. Con proyecto de decreto por el que se reforman los artículos 41, fracción II, inciso a) de la Constitución Política de los Estados Unidos Mexicanos, y 51, numeral 1, inciso a), fracción I de la Ley General de Partidos Políticos."
231,"Túrnese a la Comisión de Puntos Constitucionales, para dictamen."
232," Se recibieron del Congreso del Estado de Hidalgo, las siguientes iniciativas."
233,"Túrnese a la Comisión de Puntos Constitucionales, para dictamen."
234, 2. Con proyecto de decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Salud.
235,"Túrnese a la Comisión de Salud, para dictamen."
